Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,hour,minute,Time_period,Is_night,Is_weekend,Accident_severity
Saturday,18-30,Male,Junior high school,Owner,5-10yr,Public (12 seats),Owner,,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,Going straight,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,13,10,Afternoon,0,1,Slight Injury
Saturday,,Female,Elementary school,Employee,2-5yr,Automobile,Governmental,,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,13,10,Afternoon,0,1,Slight Injury
Wednesday,,Female,Junior high school,Employee,2-5yr,Automobile,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Overtaking,Driver,Normal,Not a Pedestrian,Changing lane to the left,8,10,Morning,0,0,Slight Injury
Wednesday,18-30,Male,Junior high school,Employee,Below 1yr,Public (13?45 seats),Owner,1-2yr,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Self-employed,Normal,Not a Pedestrian,Driving under the influence of drugs,8,10,Morning,0,0,Slight Injury
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Below 1yr,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,,,Not a Pedestrian,Moving Backward,12,30,Afternoon,0,1,Slight Injury
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),,,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,,,Not a Pedestrian,Changing lane to the right,12,30,Afternoon,0,1,Slight Injury
Sunday,,Female,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,5-10yrs,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,,,Not a Pedestrian,Changing lane to the right,12,30,Afternoon,0,1,Slight Injury
Sunday,,Female,Junior high school,Employee,Above 10yr,Motorcycle,Governmental,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,No distancing,12,30,Afternoon,0,1,Slight Injury
Sunday,18-30,Male,,,,Lorry (41?100Q),Owner,5-10yrs,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Driver,Normal,Not a Pedestrian,Moving Backward,20,1,Night,1,1,Serious Injury
Sunday,31-50,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Above 10yr,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Employee,Normal,Not a Pedestrian,No distancing,20,1,Night,1,1,Serious Injury
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Other,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,18,49,Evening,0,0,Slight Injury
Thursday,31-50,Male,Above high school,Employee,2-5yr,Other,Owner,2-5yrs,,Office areas,One way,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to pedestrian,20,41,Night,1,0,Slight Injury
Thursday,18-30,Male,,,,Other,Owner,,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Moving Backward,Driver,Normal,Not a Pedestrian,No priority to vehicle,20,41,Night,1,0,Slight Injury
Thursday,31-50,Male,,Employee,1-2yr,Taxi,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Moving Backward,20,41,Night,1,0,Slight Injury
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Organization,2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Getting off,Driver,Normal,Not a Pedestrian,Changing lane to the right,20,41,Night,1,0,Slight Injury
Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Long lorry,Owner,,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,10,4,Afternoon,0,0,Slight Injury
Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Long lorry,Governmental,,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Employee,Normal,Not a Pedestrian,Driving carelessly,10,4,Afternoon,0,0,Slight Injury
Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,,No defect,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Moving Backward,Driver,Normal,Not a Pedestrian,Changing lane to the left,10,4,Afternoon,0,0,Slight Injury
Wednesday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Governmental,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Employee,Normal,Not a Pedestrian,Moving Backward,20,30,Night,1,0,Slight Injury
Wednesday,18-30,Male,High school,Employee,5-10yr,Lorry (11?40Q),Owner,,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,No distancing,20,30,Night,1,0,Slight Injury
Wednesday,18-30,Male,Above high school,Employee,1-2yr,Automobile,Owner,,, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,20,30,Night,1,0,Slight Injury
Friday,Over 51,Male,Junior high school,Employee,Below 1yr,Taxi,Owner,,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,Driver,Normal,Not a Pedestrian,No priority to vehicle,11,15,Afternoon,0,0,Slight Injury
Friday,31-50,Male,,,,Other,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Getting off the vehicle improperly,11,15,Afternoon,0,0,Slight Injury
Friday,31-50,Male,High school,Employee,Below 1yr,Automobile,,,,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Self-employed,Normal,Not a Pedestrian,No distancing,11,15,Afternoon,0,0,Slight Injury
Thursday,31-50,Male,High school,Employee,Below 1yr,Automobile,,,,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,16,36,Evening,0,0,Fatal injury
Thursday,18-30,Male,,,,Automobile,Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,16,36,Evening,0,0,Fatal injury
Monday,31-50,Male,High school,Employee,2-5yr,Automobile,Owner,Above 10yr,No defect, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,13,28,Afternoon,0,0,Slight Injury
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Self-employed,Normal,Not a Pedestrian,Driving carelessly,13,28,Afternoon,0,0,Slight Injury
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,,No defect,Office areas,other,Tangent road with mountainous terrain and,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,19,28,Evening,0,0,Serious Injury
Friday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,19,28,Evening,0,0,Serious Injury
Saturday,Under 18,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),,,,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,23,35,Night,1,1,Slight Injury
Saturday,Under 18,Male,,Employee,Below 1yr,Stationwagen,Governmental,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,23,35,Night,1,1,Slight Injury
Saturday,Under 18,Male,Junior high school,Employee,Below 1yr,Other,Owner,1-2yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,,,Unknown or other,Driving under the influence of drugs,23,35,Night,1,1,Slight Injury
Wednesday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the left,9,1,Morning,0,0,Serious Injury
Thursday,31-50,Male,Junior high school,Owner,1-2yr,Pick up upto 10Q,Owner,,No defect,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,15,46,Afternoon,0,0,Serious Injury
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Motorcycle,Owner,,No defect,Rural village areasOffice areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,,,Not a Pedestrian,Overloading,15,46,Afternoon,0,0,Serious Injury
Saturday,Under 18,Male,Elementary school,Employee,2-5yr,Automobile,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,,,Not a Pedestrian,Driving carelessly,20,10,Night,1,1,Serious Injury
Wednesday,31-50,Male,Elementary school,Owner,5-10yr,Pick up upto 10Q,Owner,,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Overtaking,21,46,Night,1,0,Slight Injury
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Motorcycle,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Driver,Normal,Not a Pedestrian,No distancing,21,46,Night,1,0,Slight Injury
Saturday,Under 18,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Overturning,21,20,Night,1,1,Serious Injury
Saturday,Under 18,Male,High school,Employee,5-10yr,Lorry (41?100Q),Owner,,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,Reversing,,,Not a Pedestrian,Driving carelessly,21,20,Night,1,1,Serious Injury
Tuesday,Under 18,Male,Junior high school,Employee,5-10yr,Taxi,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to pedestrian,5,49,Night,1,0,Serious Injury
Tuesday,Under 18,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Reversing,Driver,Normal,Not a Pedestrian,No distancing,5,49,Night,1,0,Serious Injury
Tuesday,18-30,Male,Junior high school,,1-2yr,Long lorry,Owner,,No defect,Office areas,,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,Going straight,Driver,Normal,Not a Pedestrian,No priority to vehicle,5,49,Night,1,0,Serious Injury
Monday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,9,35,Morning,0,0,Fatal injury
Monday,31-50,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,,,,Not a Pedestrian,No priority to pedestrian,9,35,Morning,0,0,Fatal injury
Wednesday,,Female,,,,Lorry (11?40Q),Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,18,39,Evening,0,0,Slight Injury
Wednesday,Under 18,Male,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Reversing,,,Not a Pedestrian,Moving Backward,18,39,Evening,0,0,Slight Injury
Wednesday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,,,Not a Pedestrian,Changing lane to the left,16,0,Evening,0,0,Slight Injury
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,2-5yrs,,School areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,,,Not a Pedestrian,No distancing,16,0,Evening,0,0,Slight Injury
Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,,Residential areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Driving carelessly,13,9,Afternoon,0,0,Serious Injury
Tuesday,Over 51,Male,Junior high school,Owner,Above 10yr,Long lorry,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Driving under the influence of drugs,13,9,Afternoon,0,0,Serious Injury
